회사이름,공고이름,url,경력,지역,직무,사이트
기어세컨드,데이터 분석가 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45909022?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=1,경력무관,서울,데이터 분석가,jobkorea
넥슨,[인텔리전스랩스] 데이터 분석가 (서비스 데이터 큐레이션) (계약직),https://www.jobkorea.co.kr/Recruit/GI_Read/45980830?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=2,신입,경기,데이터 분석가,jobkorea
넥슨,[글로벌보안본부] 데이터 분석가 (게임 이상탐지),https://www.jobkorea.co.kr/Recruit/GI_Read/46072467?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=3,경력무관,경기,데이터 분석가,jobkorea
넥슨,[인텔리전스랩스] 데이터 분석가 (소셜메이킹),https://www.jobkorea.co.kr/Recruit/GI_Read/45976519?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=4,경력무관,경기,데이터 분석가,jobkorea
피엠그로우,[피엠그로우] 데이터 분석가 채용 (전기차 배터리),https://www.jobkorea.co.kr/Recruit/GI_Read/46057584?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=5,경력2년↑,서울,데이터 분석가,jobkorea
퍼플아카데미,데이터 분석가 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46019453?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=6,경력1년↑,서울,데이터 분석가,jobkorea
넥슨,[인텔리전스랩스] 데이터 분석가 (ai 챗봇 품질 강화) (계약직),https://www.jobkorea.co.kr/Recruit/GI_Read/45811445?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=7,경력무관,경기,데이터 분석가,jobkorea
에임드,[ua팀] 모바일게임 데이터 분석가 (주니어),https://www.jobkorea.co.kr/Recruit/GI_Read/45996178?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=8,경력1년↑,서울,데이터 분석가,jobkorea
브릭,데이터 분석가(경력 5년 이상) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45887574?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=9,경력5년↑,경기,데이터 분석가,jobkorea
한국정보통계,[통계팀] 데이터 분석가 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45900927?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=10,경력무관,전북,데이터 분석가,jobkorea
주식회사더스윙,데이터 분석가(data analyst),https://www.jobkorea.co.kr/Recruit/GI_Read/45953817?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=11,경력3년↑,서울,데이터 분석가,jobkorea
콜로세움코퍼레이션,[engineering] 데이터 분석가,https://www.jobkorea.co.kr/Recruit/GI_Read/46019534?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=12,경력3년↑,서울,데이터 분석가,jobkorea
디베이스앤,[cj그룹] 데이터 분석가/사이언티스트 경력직,https://www.jobkorea.co.kr/Recruit/GI_Read/46046900?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=13,경력3년↑,서울,데이터 분석가,jobkorea
스카이오토넷,(주)스카이오토넷 - 데이터 분석가 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46084949?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=14,신입·경력1년↑,서울,데이터 분석가,jobkorea
한패스,[한패스(주)/데이터분석팀] 데이터분석가(data analyst) 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46043237?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=15,경력3년↑,서울,데이터 분석가,jobkorea
에이치투비즈,(주)에이치투비즈 데이터분석가(사업팀) 정규직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46049258?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=16,경력3년↑,서울,데이터 분석가,jobkorea
에쓰오씨소프트,"데이터분석가, 인공지능 개발자 채용 공고",https://www.jobkorea.co.kr/Recruit/GI_Read/45957799?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=17,경력2년↑,서울,데이터 분석가,jobkorea
부동산플래닛,[데이터분석가] data analyst 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45833843?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=18,신입·경력,서울,데이터 분석가,jobkorea
넛지헬스케어,[캐시워크] 데이터분석가 - 석사/박사,https://www.jobkorea.co.kr/Recruit/GI_Read/45902361?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=19,경력무관,서울,데이터 분석가,jobkorea
번개장터,[번개장터] data analyst,https://www.jobkorea.co.kr/Recruit/GI_Read/45777902?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=20,경력3년↑,서울,데이터 분석가,jobkorea
더치트주식회사,데이터 애널리스트 / 데이터분석 전문가 / 통계 전문가 / data analyst (통,https://www.jobkorea.co.kr/Recruit/GI_Read/46042063?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=21,경력무관,서울,데이터 분석가,jobkorea
누리미디어,[서비스] 데이터 애널리스트 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45971675?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=22,경력6년↑,서울,데이터 분석가,jobkorea
나누리아이티,증권업무 분석설계자 구인합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/45925281?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=24,경력,서울,데이터 분석가,jobkorea
조인아이티,"si(생명차세대-기간계및채널 분석,설계)/여의도/25.1-2년/다수(중급,고급)/",https://www.jobkorea.co.kr/Recruit/GI_Read/46022300?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=25,경력6년↑,서울,데이터 분석가,jobkorea
트리노드,[부산/경력 3년 이상] qa팀 - ux researcher/ui/ux 분석가,https://www.jobkorea.co.kr/Recruit/GI_Read/45826930?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=27,경력3년↑,부산,데이터 분석가,jobkorea
아이넷캅,[신입/경력] 안드로이드 앱(악성코드) 분석가 채용(내일채움공제가능),https://www.jobkorea.co.kr/Recruit/GI_Read/45811211?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=32,신입·경력,서울,데이터 분석가,jobkorea
콘센트릭스서비스코리아,데이터분석가 (사원급),https://www.jobkorea.co.kr/Recruit/GI_Read/46088429?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=34,경력2년↑,서울,데이터 분석가,jobkorea
에이브랩스,데이터 분석 (data scientist) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46057474?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=35,신입·경력,서울,데이터 분석가,jobkorea
장피셜,"[뷰티에스테틱 업계1위, 파메스테틱]퍼포먼스 마케터,db분석가 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/46022449?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=36,경력2년↑,서울,데이터 분석가,jobkorea
파고네트웍스,2024년 하반기 - 파고네트웍스 채용 (네트워크 트래픽 분석가),https://www.jobkorea.co.kr/Recruit/GI_Read/45993140?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=37,신입·경력,서울,데이터 분석가,jobkorea
넥슨,[인텔리전스랩스] ux researcher/ux 분석가 (게임 경험 분석),https://www.jobkorea.co.kr/Recruit/GI_Read/45794189?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=38,경력무관,경기,데이터 분석가,jobkorea
이스트소프트,[estsoft] 그로스 분석가 (product growth analyst),https://www.jobkorea.co.kr/Recruit/GI_Read/46042089?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=44,경력5년↑,서울,데이터 분석가,jobkorea
컬럼비아스포츠웨어코리아유한회사,물류센터 분석가(distribution center analyst) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46032726?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=49,경력6년↑,서울,데이터 분석가,jobkorea
카카오페이,[계약직] 데이터 엔지니어 - 분석 mart / bi 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46016291?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=51,경력4년↑,경기,데이터 분석가,jobkorea
에스투더블유,cyber threat analyst,https://www.jobkorea.co.kr/Recruit/GI_Read/45905189?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=66,신입,경기,데이터 분석가,jobkorea
에스투더블유,senior threat analyst,https://www.jobkorea.co.kr/Recruit/GI_Read/45905303?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=69,경력3년↑,경기,데이터 분석가,jobkorea
에스투더블유,malware analyst(멀웨어 분석가),https://www.jobkorea.co.kr/Recruit/GI_Read/45920433?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%B6%84%EC%84%9D%EA%B0%80&listno=70,경력,경기,데이터 분석가,jobkorea
